TICKERS,SHORT_NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,CUR_MKT_CAP,EQY_FREE_FLOAT_PCT,Mar CAP Adj. on free float,start _date
AFKS RX Equity,SISTEMA JSFC,Communications,Telecommunications,"163857000000,00",32.8803,"53876673171,00",25.09.2007
AFLT RX Equity,AEROFLOT,Consumer. Cyclical,Airlines,45501949770.03,40.43912,18400588069.8422,26.04.2005
AKRN RX Equity,ACRON,Basic Materials,Chemicals,"91931112000,00",15.359,14119699492.08,20.10.2006
ALRS RX Equity,ALROSA AO,Basic Materials,Mining,493158098584.8,22.8799,112834079798.104,29.11.2011
BANE RX Equity,BASHNEFT,Energy,Oil&Gas,"305809000000,00",15.66574,47907242836.6,18.11.2011
BISV RX Equity,BASHINFORMSVYAZ,Communications,Telecommunications,"7924349064,00","100,00","7924349064,00",23.04.2010
BSPB RX Equity,BANK ST PETERSBU,Financial,Banks,"18197535600,00",32.1269,5846304064.6764,18.12.2007
CHMF RX Equity,SEVERSTAL PAO,Basic Materials,Iron/Steel,"515113204034,00",20.78164,107048971654.811,29.09.2005
DIXY RX Equity,DIXY GROUP,Consumer. Non-cyclical,Food,"49213875000,00",45.012,"22152149415,00",26.06.2007
ENRU RX Equity,ENEL RUSSIA OJSC,Utilities,Electric,32542146500.4,17.14,5577723910.16856,16.09.2005
EONR RX Equity,E.ON RUSSIA JSC,Utilities,Electric,194820502003.5,16.13,31424546973.1645,22.11.2006
FEES RX Equity,FEDERAL GRID,Utilities,Electric,84790737290.1508,19.86795,16846181289.4385,16.07.2008
GAZP RX Equity,GAZPROM,Energy,Oil&Gas,,23.53987,815845353184.049,23.01.2006
GCHE RX Equity,CHERKIZOVO GROUP,Consumer. Non-cyclical,Food,"33764177664,00",51.28761,17316839760.0194,19.05.2008
GMKN RX Equity,NORILSK NICKEL,Basic Materials,Mining,,43.07531,651245824190.559,26.12.2006
HALS RX Equity,HALS-DEVELOPMENT,Financial,Real Estate,"17498666640,00",72.39999,12669032897.4933,13.11.2006
HYDR RX Equity,RUSHYDRO JSC,Utilities,Electric,222444522230.151,28.65177,63734292886.9817,22.05.2008
IRGZ RX Equity,IRKUTSKENERGO,Utilities,Electric,"47048391999,00",9.802996,4612151985.72629,26.04.2005
LKOH RX Equity,LUKOIL OAO,Energy,Oil&Gas,,82.83026,1766100150490.36,26.04.2005
LSRG RX Equity,LSR GROUP PJSC,Financial,Real Estate,"62951461365,00",41.8585,26350537455.4685,30.11.2007
MAGN RX Equity,MAGNITOGORSK,Basic Materials,Iron/Steel,"169067612900,00",14.2,24007601031.8,09.03.2006
MGNT RX Equity,MAGNIT PJSC,Consumer. Non-cyclical,Food,,61.63989,633177277666.587,20.07.2006
MSNG RX Equity,MOSENERGO,Utilities,Electric,"37364398118,00",15.00536,5606662449.43913,26.04.2005
MSRS RX Equity,MOSCOW UNITED EL,Utilities,Electric,42862240585.12,33.43,14328847027.6056,15.02.2006
MSTT RX Equity,MOSTOTREST PJSC,Industrial,Engineering&Construction,"24722077800,00",36.39999,8998833846.99222,03.11.2010
MTLR RX Equity,MECHEL,Basic Materials,Iron/Steel,26100175711.5,32.53793,8492456902.88487,26.12.2008
MTSS RX Equity,MOBILE TELESYST,Communications,Telecommunications,527762023734.8,48.46921,255802083584.27,26.04.2005
MVID RX Equity,M VIDEO,Consumer. Cyclical,Retail,36798556066.9,42.2263,15538668680.4774,06.11.2007
NKNC RX Equity,NIZHNEKAMSKNEFTE,Basic Materials,Chemicals,"47854303200,00",19.97585,9559303825.7772,07.04.2008
NLMK RX Equity,NLMK OAO,Basic Materials,Iron/Steel,437145994885.6,14.45912,63207463975.7028,18.04.2006
NMTP RX Equity,NCSP,Industrial,Transportation,"33415779719,00",14.10001,4711628281.95697,08.11.2007
NVTK RX Equity,NOVATEK OAO,Energy,Oil&Gas,,55.96778,865820385194.365,27.04.2005
OGKB RX Equity,OGK-2,Utilities,Electric,30470716284.033,19.7281,6011293379.23031,22.06.2007
PHST RX Equity,PHARMSTAND-CLS,Consumer. Non-cyclical,Pharmaceuticals,"39871196165,00",16.85,6718296553.8025,27.08.2007
